Mode,MNLC,MASC,Station,Coverage,Source,Entries_Monday,Entries_midweek,Entries_Friday,Entries_Saturday,Entries_Sunday,Exits_Monday,Exits_midweek,Exits_Friday,Exits_Saturday,Exits_Sunday,En/Ex_weekly,En/Ex_12week,En/Ex_annual
LU,627,LGRu,Ladbroke Grove,Station entry/exit,Gateline,"6,875","7,775","8,275","10,635","4,987","6,950","7,786","8,083","10,960","4,882","108,328","1,299,936","5,097,954"
LU,628,LAMu,Lambeth North,Station entry/exit,Gateline,"3,802","4,192","4,425","4,435","3,004","3,565","4,034","4,037","3,932","2,669","54,548","654,575","2,567,046"
LU,629,LANu,Lancaster Gate,Station entry/exit,Gateline,"4,673","5,153","6,146","7,075","5,394","4,447","5,425","6,127","6,835","5,087","77,520","930,240","3,648,119"
LU,630,LATu,Latimer Road,Station entry/exit,Gateline,"2,976","3,462","3,002","1,996","1,560","2,872","3,379","2,788","1,867","1,553","39,136","469,635","1,841,768"
LU,631,LSQu,Leicester Square,Station entry/exit,Gateline,"32,812","42,982","49,340","71,131","41,486","30,970","39,836","46,171","64,971","39,211","624,545","7,494,535","29,391,294"
LU,632,LEYu,Leyton,Station entry/exit,Gateline,"12,870","14,025","13,892","13,754","8,246","12,376","13,356","13,113","13,008","8,249","177,650","2,131,800","8,360,273"
LU,633,LYSu,Leytonstone,Station entry/exit,Gateline,"10,228","11,453","11,234","9,371","6,161","10,202","11,336","11,077","9,439","6,308","142,384","1,708,608","6,700,643"
LU,634,LSTu,Liverpool Street LU,Station entry/exit,Gateline,"77,291","100,579","88,787","74,678","43,795","80,787","102,034","91,288","76,222","45,823","1,186,510","14,238,118","55,837,583"
LU,635,LONu,London Bridge LU,Station entry/exit,Gateline,"72,166","91,126","86,237","104,724","69,959","70,057","88,989","83,632","99,671","67,518","1,194,308","14,331,700","56,204,583"
LU,636,LTNu,Loughton,Station entry/exit,Gateline,"3,970","4,685","4,127","3,604","2,051","4,006","4,720","4,294","3,829","2,113","56,209","674,510","2,645,225"
LU,637,MDVu,Maida Vale,Station entry/exit,Gateline,"3,802","4,452","4,258","3,682","2,399","3,625","4,192","3,841","3,220","2,340","53,097","637,167","2,498,776"
LU,638,MNRu,Manor House,Station entry/exit,Gateline,"8,893","10,064","10,413","9,626","6,699","8,559","9,406","9,785","8,987","6,647","128,019","1,536,228","6,024,622"
LU,639,MANu,Mansion House,Station entry/exit,Gateline,"6,178","8,260","5,611","3,669","2,463","6,534","8,970","5,712","3,691","2,387","87,935","1,055,218","4,138,247"
LU,640,MARu,Marble Arch,Station entry/exit,Gateline,"12,834","16,912","14,508","14,793","10,407","12,385","16,920","13,871","13,915","9,861","204,070","2,448,840","9,603,610"
LU,641,MYBu,Marylebone LU,Station entry/exit,Gateline,"11,587","15,021","12,813","11,951","8,422","12,051","15,906","14,037","13,003","8,701","185,347","2,224,169","8,722,517"
LU,642,MLEu,Mile End,Station entry/exit,Gateline,"18,324","19,114","19,932","15,270","10,582","18,259","18,615","19,498","15,245","11,043","241,341","2,896,092","11,357,596"
LU,643,MHEu,Mill Hill East,Station entry/exit,Scaled,"2,713","2,713","2,468","1,822","1,188","2,209","2,209","1,997","1,520","1,281","29,966","359,587","1,410,192"
LU,646,MPKu,Moor Park,Station entry/exit,Gateline,"1,285","1,422","1,350",607,380,"1,235","1,366","1,269",610,394,"15,493","185,917","729,111"
LU,645,MGTu,Moorgate,Station entry/exit,Gateline,"29,811","40,745","27,091","12,635","7,690","33,024","45,914","31,508","14,942","8,605","425,283","5,103,392","20,013,958"
LU,647,MORu,Morden,Station entry/exit,Gateline,"11,408","12,994","12,583","11,919","7,952","10,766","12,493","12,334","11,826","7,946","163,196","1,958,353","7,680,069"
LU,648,MCRu,Mornington Crescent,Station entry/exit,Gateline,"3,607","4,882","4,597","5,790","1,859","3,116","4,880","4,260","3,094","1,177","56,783","681,399","2,672,239"
LU,649,NEAu,Neasden,Station entry/exit,Gateline,"4,147","4,465","4,318","3,268","2,262","3,854","4,097","4,020","3,180","2,206","52,941","635,295","2,491,433"
LU,650,NEPu,Newbury Park,Station entry/exit,Gateline,"5,855","6,329","6,103","5,051","3,260","5,258","5,692","5,530","4,745","3,070","74,936","899,235","3,526,527"
LU,653,NACu,North Acton,Station entry/exit,Gateline,"8,386","8,824","9,282","6,756","4,669","8,495","8,768","9,120","6,861","4,736","111,080","1,332,960","5,227,467"
LU,654,NELu,North Ealing,Station entry/exit,Gateline,945,"1,017","1,061",807,504,923,"1,000","1,007",728,475,"12,501","150,015","588,313"
LU,789,NOGu,North Greenwich,Station entry/exit,Gateline,"23,395","32,860","31,065","40,319","23,483","24,930","36,002","33,601","42,942","24,215","450,536","5,406,438","21,202,411"
LU,656,NHRu,North Harrow,Station entry/exit,Gateline,"2,136","2,454","2,164","1,626",975,"2,054","2,308","1,979","1,556",978,"27,755","333,059","1,306,156"
